UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency,,
69,Smart Speaker,11.8574157,4.051182066,1,4,9,1,,
70,Smart Speaker,9.495426359,6.192467472,0,0,53,0,,
71,Lights,20.21994529,3.715917596,1,1,12,1,,
72,Camera,3.915177272,3.988577899,1,0,54,1,,
73,Camera,12.38387348,6.986843459,0,1,29,0,,
74,Thermostat,1.957973298,9.385081063,0,3,10,0,,
75,Camera,2.172158454,5.46935361,1,2,27,0,,
76,Thermostat,13.98584747,7.707159297,0,2,19,0,,
77,Lights,13.80143298,0.983144932,0,1,13,0,,
78,Smart Speaker,21.13378755,2.190464571,1,4,42,1,,
79,Smart Speaker,13.61003138,5.071103245,0,0,37,0,,
80,Smart Speaker,23.05508898,0.298116064,0,3,32,0,,
81,Camera,1.644328937,2.60326429,1,4,15,1,,
82,Lights,2.803180592,5.222272769,0,2,21,0,,
83,Camera,1.535547747,0.248115863,1,4,3,1,,
84,Camera,4.854005983,2.719008234,0,0,8,0,,
85,Lights,13.21984761,5.188905113,0,2,6,0,,
86,Lights,15.67094626,5.774177555,1,1,29,1,,
87,Lights,1.571251212,9.264941761,0,3,19,0,,
88,Lights,22.73031591,6.48892167,0,3,17,0,,
89,Smart Speaker,20.29088635,4.205884445,0,2,10,0,,
90,Security System,7.470393331,9.310476654,0,1,33,0,,
91,Security System,2.31390696,7.870341536,0,0,13,0,,
92,Lights,4.492346221,2.080088319,0,3,27,0,,
93,Security System,3.483193723,1.395339377,1,2,42,0,,
94,Security System,3.397168814,6.790535194,0,3,12,0,,
95,Lights,12.68619968,5.642843339,0,1,2,0,,
96,Security System,6.277414899,7.917768777,1,0,10,1,,
97,Camera,8.916283338,7.414169996,1,1,21,1,,
98,Thermostat,23.75337533,6.289594185,1,4,23,1,,
99,Thermostat,16.58138485,9.865183499,0,1,1,0,,
100,Lights,22.80104568,5.382538328,1,1,33,1,,
101,Smart Speaker,3.850079043,1.219746989,1,3,52,0,,
102,Lights,9.480277659,8.299908292,0,1,26,0,,
103,Smart Speaker,13.53619738,2.593348287,1,2,15,1,,
104,Thermostat,2.303814454,7.795291267,0,3,22,0,,
105,Lights,0.598404925,9.57536025,0,3,25,0,,
106,Camera,16.25520684,6.998275588,0,4,1,0,,
107,Security System,15.58275864,6.000698593,0,2,59,0,,
108,Smart Speaker,10.15353703,4.657823139,0,1,26,0,,
109,Security System,12.00663579,3.707657673,1,4,21,1,,
110,Security System,10.26291051,3.594747035,0,2,41,0,,
111,Lights,1.064118554,6.400089787,1,4,24,0,,
112,Security System,8.381232746,7.537603858,0,0,39,0,,
113,Camera,4.661433002,6.817318988,1,1,16,0,,
114,Security System,2.812968444,2.064260002,0,4,32,0,,
115,Lights,22.9829302,4.990473083,0,0,16,1,,
116,Camera,14.58495354,7.937236715,0,1,13,0,,
117,Thermostat,17.62342268,4.809470374,1,4,42,1,,
118,Security System,7.911047967,5.412570469,1,4,32,0,,
119,Lights,9.738957543,7.734246877,1,4,50,0,,
120,Thermostat,6.067713857,6.646526532,0,4,41,0,,
121,Thermostat,2.778693268,4.152514717,0,3,44,0,,
122,Smart Speaker,4.70724348,8.964585841,1,4,24,0,,
123,Camera,19.24158006,1.70941398,0,3,13,0,,
124,Security System,16.42232642,9.955612841,1,3,11,1,,
125,Lights,13.35282859,1.276640527,0,0,15,1,,
126,Smart Speaker,11.66461201,0.248004714,1,1,10,1,,
127,Camera,22.17720567,8.911187121,1,3,42,0,,
128,Smart Speaker,2.209271273,2.525039733,0,2,41,0,,
129,Camera,7.094119111,7.324026312,1,3,57,0,,
130,Camera,8.723539559,8.129052212,0,2,57,0,,
131,Security System,18.88700659,8.603965271,0,0,3,0,,
132,Camera,23.82409357,9.916782933,0,2,55,0,,
133,Smart Speaker,6.155757097,3.010993129,1,0,16,1,,
134,Camera,21.04622235,7.131409085,1,0,44,1,,
135,Security System,20.01963487,1.242458597,1,0,17,1,,
136,Security System,5.779448845,4.127411984,0,2,25,0,,
137,Smart Speaker,9.884315635,8.494919764,0,2,30,0,,
138,Thermostat,10.12731243,3.739814656,1,0,47,1,,
139,Thermostat,23.48818571,5.951844267,0,0,57,0,,
140,Camera,4.750959682,5.087357093,0,1,35,0,,
141,Lights,19.28021232,6.494920158,1,0,37,1,,
142,Camera,8.353528783,9.731654455,1,4,13,1,,
143,Smart Speaker,17.67545313,0.651781712,0,1,24,0,,
144,Smart Speaker,10.3702586,5.782219023,0,1,38,0,,
145,Smart Speaker,14.09145443,8.643984915,1,1,26,1,,
146,Smart Speaker,20.06637667,4.865688846,1,4,58,1,,
147,Smart Speaker,19.39789078,0.877419141,0,1,9,0,,
148,Security System,20.86094481,5.649339589,0,1,19,0,,
149,Thermostat,1.901007146,3.387531519,0,2,28,0,,
150,Smart Speaker,16.763188,1.633923675,1,2,7,1,,
151,Lights,3.789703353,8.505441682,0,0,45,0,,
152,Lights,10.27173635,5.263835179,0,0,22,0,,
153,Lights,13.39182775,9.339436483,0,3,30,0,,
154,Lights,9.964377892,8.079563396,0,4,37,0,,
155,Security System,12.71087438,6.960420758,0,2,16,0,,
156,Lights,23.91836826,0.149752483,0,0,36,0,,
157,Smart Speaker,3.677606872,4.335452221,1,4,5,1,,
158,Camera,16.37321707,2.055114188,1,1,29,1,,
159,Lights,9.80602271,9.116899319,1,4,52,0,,
160,Security System,3.625730274,1.828381448,0,2,51,0,,
161,Security System,4.230313939,2.931994511,1,3,23,1,,
162,Lights,22.807918,5.216684001,0,2,6,0,,
163,Camera,21.17063517,2.707299828,0,0,36,0,,
164,Lights,21.81548607,2.177660305,0,0,57,0,,
165,Security System,23.80102023,6.031083319,0,4,33,0,,
166,Thermostat,5.395411665,0.980402275,0,2,49,0,,
167,Smart Speaker,8.852824428,0.675860811,1,0,41,1,,
168,Security System,16.2266472,3.785228422,1,1,16,1,,
169,Lights,11.86935969,7.2345781,1,1,55,0,,
170,Smart Speaker,10.33215403,5.592586907,0,3,34,0,,
171,Lights,8.908564359,4.286477038,1,4,43,1,,
172,Lights,14.45384485,5.700940486,0,0,26,0,,
173,Thermostat,14.02644557,3.717969698,1,3,37,1,,
174,Smart Speaker,4.294259101,9.367848721,1,1,13,0,,
175,Smart Speaker,11.58588618,0.64355842,1,3,52,1,,
176,Thermostat,13.50658674,6.766575642,1,3,17,1,,
177,Security System,13.90174306,8.923698382,1,0,32,1,,
178,Lights,5.437519033,8.058458616,1,0,32,1,,
179,Camera,17.94337772,1.922006245,0,0,28,1,,
180,Lights,1.092178728,3.029670855,0,4,29,0,,
181,Lights,8.838548605,7.198774593,0,3,25,0,,
182,Security System,18.83499724,0.934278536,0,3,47,0,,
183,Lights,13.75148364,8.137430828,0,4,22,0,,
184,Thermostat,6.637317164,7.217178752,1,1,27,0,,
185,Thermostat,16.8313983,7.323105827,0,2,44,0,,
186,Smart Speaker,13.83368719,1.092389566,0,1,38,0,,
187,Camera,19.21172482,7.205829394,0,4,20,0,,
188,Lights,17.77309188,6.83019944,0,3,45,0,,
189,Lights,14.83753617,8.326132659,0,3,50,0,,
190,Security System,11.97217537,0.511799967,0,0,24,1,,
191,Thermostat,3.629779953,0.328795618,0,0,47,0,,
192,Camera,6.64132592,3.792770289,0,3,47,0,,
193,Smart Speaker,10.34883761,1.57300401,0,3,8,0,,
194,Thermostat,14.58353324,5.628006328,1,0,51,1,,
195,Smart Speaker,12.5721346,9.181754125,0,0,55,0,,
196,Security System,7.27233636,3.97564933,0,1,14,0,,
197,Security System,0.651912408,8.465008735,1,3,39,0,,
198,Lights,12.16162171,0.102384658,1,3,14,1,,
199,Camera,7.212210731,1.76829497,0,4,5,0,,
200,Smart Speaker,17.76329507,0.401193043,0,1,47,0,,
201,Thermostat,1.062737234,3.348657087,0,2,21,0,,
202,Security System,14.24345357,9.091076997,1,2,15,1,,
203,Lights,22.62464458,1.059826024,0,2,56,0,,
204,Lights,4.598617777,6.10345679,1,0,36,0,,
205,Smart Speaker,11.58376303,4.569809797,1,2,33,1,,
206,Security System,2.648416808,9.390835302,1,4,17,0,,
207,Camera,15.20352494,1.312939511,1,0,57,1,,
208,Security System,13.43749449,2.19907572,1,0,20,1,,
209,Smart Speaker,10.07308982,0.392465489,0,2,1,0,,
210,Smart Speaker,12.75236,4.395958971,0,0,16,1,,
211,Security System,21.56950447,2.850545706,1,1,45,1,,
212,Smart Speaker,5.112916104,8.712068746,1,1,18,0,,
213,Security System,1.030266025,6.088914051,1,2,10,0,,
214,Thermostat,20.74912479,6.179498306,1,4,23,1,,
215,Security System,14.06225144,5.365915899,0,0,18,0,,
216,Security System,21.4304737,1.009318339,1,3,49,1,,
217,Smart Speaker,14.52821275,4.505684969,1,2,58,1,,
218,Smart Speaker,19.53878561,9.995101378,0,0,9,0,,
219,Lights,10.59732404,8.368769979,0,2,46,0,,
220,Lights,18.12170839,8.945244636,0,2,53,0,,
221,Thermostat,21.95647447,8.249940957,0,4,30,0,,
222,Lights,13.94488965,1.120112765,1,3,13,1,,
223,Security System,4.748451038,2.351737715,1,0,52,1,,
224,Smart Speaker,6.816743953,0.130904348,1,2,52,0,,
225,Lights,5.168147557,3.104750236,1,2,31,1,,
226,Lights,6.301140148,1.175213283,1,0,46,1,,
227,Thermostat,7.70076306,4.780654118,1,2,43,0,,
228,Thermostat,13.54564399,6.803562137,1,2,13,1,,
229,Security System,14.31780329,8.757602421,1,2,32,1,,
230,Smart Speaker,10.52274406,7.517249934,1,1,17,1,,
231,Thermostat,14.96238833,9.391997398,0,1,3,0,,
232,Lights,2.417010752,0.633593075,1,3,1,1,,
233,Smart Speaker,2.563023571,0.220580371,0,4,53,0,,
234,Smart Speaker,4.537992318,6.647247327,0,0,5,0,,
235,Lights,12.6748212,2.964588861,0,4,32,0,,
236,Thermostat,5.528874949,2.609660059,0,4,25,0,,
237,Lights,7.157183482,3.375782168,1,1,45,0,,
238,Smart Speaker,9.90735165,2.770980973,0,3,56,0,,
239,Camera,19.57885391,5.163220422,0,4,5,0,,
240,Camera,0.825760194,4.457469628,1,4,37,0,,
241,Security System,15.76040228,5.173042659,0,2,23,0,,
242,Lights,16.21859848,6.759864754,1,0,12,1,,
243,Lights,19.26841084,3.932592039,1,3,34,1,,
244,Security System,22.41969407,2.587946103,1,0,23,1,,
245,Security System,0.97323945,1.745385314,1,1,16,1,,
246,Security System,4.11391708,3.559793783,0,4,49,0,,
247,Smart Speaker,21.32502541,7.443884105,1,4,5,1,,
248,Lights,11.27518621,7.59137861,0,0,44,0,,
249,Smart Speaker,13.76788001,6.702363328,0,1,47,0,,
250,Security System,16.08113929,2.416878936,1,2,28,1,,
251,Lights,16.45806521,5.922053834,0,2,6,0,,
252,Smart Speaker,22.39589948,5.74982765,1,4,13,1,,
253,Smart Speaker,23.92831131,4.894235361,0,4,43,0,,
254,Security System,17.42370033,5.544791965,0,3,30,0,,
255,Lights,7.249698416,4.968727263,0,0,26,0,,
256,Security System,21.17418145,5.698018024,0,4,17,0,,
257,Lights,1.656691492,7.183508951,1,1,9,0,,
258,Camera,5.930400043,1.185319125,1,0,57,1,,
259,Thermostat,21.58856436,7.521294946,0,3,16,0,,
260,Thermostat,6.520500589,1.445272886,0,2,49,0,,
261,Thermostat,5.685299901,0.759617184,0,3,52,0,,
262,Security System,3.745944389,9.763188894,0,0,56,0,,
263,Camera,20.6891263,9.574218512,1,2,18,1,,
264,Lights,12.25136909,0.698321795,0,1,13,0,,
265,Smart Speaker,16.35999027,4.488209071,0,2,29,0,,
266,Lights,6.118060026,1.943824889,0,2,43,0,,
267,Smart Speaker,18.31394989,4.904914482,1,1,45,1,,
268,Lights,18.36013031,8.318754706,0,4,24,0,,
269,Camera,7.846053585,9.51105657,1,4,58,0,,
270,Smart Speaker,10.15104188,6.379101269,1,2,45,0,,
271,Security System,5.42772152,3.603666105,0,2,44,0,,
272,Lights,23.44918405,6.0729231,0,3,46,0,,
273,Lights,15.67166056,3.18881293,0,4,13,0,,
274,Smart Speaker,22.4617812,9.107254044,1,1,25,1,,
275,Security System,7.629560275,8.716964585,1,2,41,0,,
276,Security System,18.87443646,5.626494328,0,2,46,0,,
277,Camera,18.49767813,3.315509262,1,3,1,1,,
278,Security System,16.75390782,3.004557788,0,3,9,0,,
279,Security System,23.19251592,0.430838148,0,3,4,0,,
280,Security System,9.748550398,8.176626425,0,0,28,0,,
281,Thermostat,3.571857104,4.558793809,0,1,12,0,,
282,Camera,16.28515819,3.318815991,0,0,24,1,,
283,Lights,17.63878031,4.763992514,0,2,46,0,,
284,Smart Speaker,14.01392348,8.205506106,1,3,9,1,,
285,Lights,5.360220489,1.333680656,1,3,35,1,,
286,Camera,12.35471463,8.590794284,1,3,38,0,,
287,Smart Speaker,7.836458809,8.985337468,0,4,35,0,,
288,Camera,10.54546341,9.472408359,0,1,33,0,,
289,Security System,15.66263653,4.035131125,0,0,58,0,,
290,Smart Speaker,18.01254645,2.24969,1,1,54,1,,
291,Security System,5.957280236,3.799044103,0,3,53,0,,
292,Lights,10.02514598,3.395829753,1,2,35,1,,
293,Lights,6.825296918,1.843923734,0,4,46,0,,
294,Smart Speaker,5.167842926,6.111940034,1,1,20,0,,
295,Smart Speaker,18.90959967,4.818579189,0,2,2,0,,
296,Camera,21.86743832,8.670439824,0,3,44,0,,
297,Camera,9.200456364,0.417884847,1,3,26,1,,
298,Security System,18.15505472,6.474292483,1,3,42,0,,
299,Smart Speaker,21.5793893,7.653193897,1,3,13,1,,
300,Lights,20.38391895,7.618917035,0,4,30,0,,
301,Camera,4.796114631,8.872132274,1,4,52,0,,
302,Camera,22.97285922,7.317434054,1,1,32,1,,
303,Lights,9.35189635,9.28531961,0,3,36,0,,
304,Camera,8.472155538,3.393300338,0,4,19,0,,
305,Security System,1.967136191,5.081773226,1,2,22,0,,
306,Smart Speaker,11.92508087,0.239388667,0,4,1,0,,
307,Lights,3.061819968,0.168880114,1,4,57,0,,
308,Smart Speaker,6.340685792,2.477253542,1,1,11,1,,
309,Camera,7.948151612,1.097991252,1,4,26,1,,
310,Camera,19.5074186,2.676092543,0,2,48,0,,
311,Lights,21.07398328,1.852728616,1,3,19,1,,
312,Security System,7.60795846,0.382348246,1,0,19,1,,
313,Thermostat,20.67940585,9.102111049,0,1,12,0,,
314,Lights,20.64492703,0.181409001,1,2,3,1,,
315,Thermostat,18.46929733,7.387213229,1,1,55,0,,
316,Thermostat,3.947335179,1.606264081,1,3,56,0,,
317,Security System,16.7225869,9.131073258,0,4,18,0,,
318,Thermostat,22.70806552,8.938679802,1,4,49,0,,
319,Thermostat,16.53970125,6.573621349,0,2,5,0,,
320,Security System,8.292995954,6.755118083,0,3,48,0,,
321,Thermostat,12.26361396,0.152857505,1,0,24,1,,
322,Thermostat,15.67453852,9.850228505,1,0,14,1,,
323,Thermostat,12.49840461,8.790542775,0,4,51,0,,
324,Lights,3.318894131,8.961551635,1,3,38,0,,
325,Lights,7.833505049,6.626520917,1,3,3,0,,
326,Lights,19.35630672,3.513390594,0,2,6,0,,
327,Security System,20.74332408,8.947121626,1,0,12,1,,
328,Camera,3.726550769,2.986017589,1,2,52,0,,
329,Thermostat,22.88108868,5.670844279,0,1,11,0,,
330,Thermostat,8.227331519,1.087336626,1,3,39,1,,
331,Security System,16.06437286,9.227360738,0,0,59,0,,
332,Thermostat,18.16789093,1.493627532,0,2,26,0,,
333,Lights,19.58073651,2.326478377,1,4,1,1,,
334,Camera,22.725118,5.625528165,0,1,16,0,,
335,Smart Speaker,7.853609379,7.664520702,1,2,48,0,,
336,Thermostat,20.67490168,6.231577929,1,4,49,0,,
337,Lights,3.594642231,2.398125737,0,0,47,0,,
338,Smart Speaker,17.0684613,0.109336121,0,0,53,0,,
339,Camera,17.93647664,7.595790745,0,1,9,0,,
340,Smart Speaker,16.42649617,9.853552527,0,4,5,0,,
341,Lights,6.429396299,8.118139891,0,3,52,0,,
342,Smart Speaker,21.01651395,4.65604552,0,0,8,1,,
343,Security System,4.468173889,9.047295888,1,3,21,0,,
344,Smart Speaker,1.760417601,4.157491964,1,3,33,1,,
345,Thermostat,17.36042728,5.296847434,0,2,39,0,,
346,Thermostat,11.67367931,4.823584697,1,2,43,1,,
347,Security System,20.45380347,4.531476339,0,0,20,1,,
348,Lights,9.509832815,7.774388616,0,3,58,0,,
349,Thermostat,4.45454683,5.315012182,1,2,53,0,,
350,Camera,20.15639152,3.235499508,1,4,45,1,,
351,Thermostat,13.39937634,2.65576586,0,4,22,0,,
352,Thermostat,4.946101121,0.473698438,0,4,13,0,,
353,Lights,17.42902397,5.873632103,0,4,39,0,,
354,Smart Speaker,12.5111705,2.376618012,1,3,11,1,,
355,Thermostat,14.70135508,1.566525828,0,4,18,0,,
356,Security System,11.33111095,6.572916642,0,3,30,0,,
357,Smart Speaker,19.97466112,6.843971652,1,0,33,1,,
358,Camera,19.99472382,7.546333433,1,0,44,1,,
359,Lights,17.17063731,5.085411274,1,4,3,1,,
360,Camera,2.976932369,8.951140592,0,4,58,0,,
361,Smart Speaker,20.21306575,9.369793259,0,4,1,0,,
362,Smart Speaker,16.26880504,8.092972304,1,0,36,1,,
363,Smart Speaker,16.8800679,6.392375472,0,2,6,0,,
364,Camera,9.030096749,3.106837441,0,0,37,0,,
365,Smart Speaker,21.16306957,9.831154724,1,4,29,1,,
366,Camera,17.54623261,2.813948055,1,2,11,1,,
367,Smart Speaker,3.145875963,2.106303528,0,2,52,0,,
368,Security System,10.08278381,4.477325726,1,1,55,1,,
369,Smart Speaker,21.32993851,0.66272165,1,3,13,1,,
370,Camera,1.60912249,9.7870952,0,4,11,0,,
371,Thermostat,23.09329056,5.925492209,0,3,59,0,,
372,Smart Speaker,16.46032036,5.613825707,0,1,38,0,,
373,Thermostat,15.33733547,6.592383171,0,3,51,0,,
374,Security System,6.858142527,5.020534113,0,4,25,0,,
375,Lights,6.346607035,0.417428819,0,1,15,0,,
376,Security System,22.63836816,6.16188176,1,3,53,0,,
377,Smart Speaker,7.509402675,7.190121382,1,0,13,1,,
378,Thermostat,18.72437447,4.2258157,1,2,42,1,,
379,Thermostat,9.738362258,7.597226164,0,1,33,0,,
380,Camera,3.772470663,2.347312863,0,0,13,0,,
381,Thermostat,0.751809496,2.290638252,0,4,38,0,,
382,Camera,13.29004742,1.698028178,0,2,53,0,,
383,Lights,23.43080224,3.782748122,0,1,58,0,,
384,Smart Speaker,9.174700555,8.48541915,1,2,24,1,,
385,Camera,8.894019849,8.296329415,0,1,20,0,,
386,Lights,8.586153019,3.889959659,1,1,44,1,,
387,Thermostat,12.73278018,5.932275486,0,3,17,0,,
388,Thermostat,10.85562476,7.236081533,1,2,59,0,,
389,Lights,21.17799373,2.487947069,1,2,50,1,,
390,Thermostat,12.37973861,1.76459675,1,0,24,1,,
391,Lights,12.4323092,9.723750333,1,4,26,1,,
392,Camera,3.751732476,6.213817401,1,0,40,0,,
393,Camera,23.59437921,9.816015646,1,3,32,1,,
394,Lights,6.374362935,3.443784273,1,1,29,1,,
395,Camera,2.224055585,7.06001383,0,3,14,0,,
396,Camera,16.08393685,2.303776002,0,3,37,0,,
397,Camera,14.4911097,2.685881696,1,0,22,1,,
398,Security System,10.25592287,5.167831001,0,1,34,0,,
399,Smart Speaker,10.4215175,3.264219443,0,4,27,0,,
400,Thermostat,18.94900214,1.759453482,1,3,28,1,,
401,Security System,5.099247042,2.70251895,0,4,57,0,,
402,Camera,19.775953,0.453909105,1,1,22,1,,
403,Lights,15.74555718,7.073793853,0,1,57,0,,
404,Camera,10.34578968,4.971954905,1,0,43,1,,
405,Smart Speaker,11.26367249,1.033006357,0,2,58,0,,
406,Camera,6.531209369,1.799770532,1,0,3,1,,
407,Lights,18.17468682,1.115091927,0,4,22,0,,
408,Smart Speaker,12.55255644,6.164668802,0,0,58,0,,
409,Camera,8.040081755,1.0326826,0,1,48,0,,
410,Smart Speaker,14.50717772,7.567395097,1,3,21,1,,
411,Thermostat,23.89975962,0.303058101,1,2,16,1,,
412,Thermostat,10.72866357,2.568820301,0,1,9,0,,
413,Camera,22.13624792,8.917600091,0,3,13,0,,
414,Smart Speaker,8.607895738,7.213460049,1,4,10,1,,
415,Lights,1.786218613,0.822386496,0,4,49,0,,
416,Camera,5.2996895,8.229148434,0,4,57,0,,
417,Thermostat,10.33933587,4.981047703,1,0,21,1,,
418,Thermostat,5.661420822,8.483151969,1,4,49,0,,
419,Camera,0.505335398,6.047323767,0,4,42,0,,
420,Smart Speaker,22.00253614,6.850147017,1,0,40,1,,
421,Thermostat,20.33116616,9.935665448,0,3,7,0,,
422,Smart Speaker,17.94386744,2.400121905,0,1,46,0,,
423,Thermostat,4.443642998,6.27706119,1,2,22,0,,
424,Thermostat,3.328544041,4.657181762,0,4,18,0,,
425,Security System,2.088711613,0.490574334,1,4,21,1,,
426,Thermostat,17.51468594,0.243259351,1,4,51,1,,
427,Lights,22.32698708,1.28036292,0,0,50,0,,
428,Camera,10.61759179,6.526008231,1,0,14,1,,
429,Camera,3.299805792,5.71491457,0,0,10,0,,
430,Smart Speaker,12.54123129,5.578952656,1,2,33,1,,
431,Thermostat,8.697549825,0.415381949,0,1,9,0,,
432,Lights,9.308385722,4.746099664,1,4,18,1,,
433,Smart Speaker,15.10126967,9.253765897,0,3,13,0,,
434,Security System,17.38987566,4.036159506,0,4,59,0,,
435,Smart Speaker,3.099184574,6.286732451,1,4,17,0,,
436,Smart Speaker,1.336370424,7.820204889,0,4,23,0,,
437,Thermostat,23.86676211,7.860860264,0,4,25,0,,
438,Security System,5.9691162,5.240872816,0,1,54,0,,
439,Smart Speaker,1.765017335,8.593724259,0,3,16,0,,
440,Lights,4.962070234,3.974643124,0,0,24,0,,
441,Lights,1.415509389,8.898062826,0,3,31,0,,
442,Camera,9.707556024,2.478248947,1,4,11,1,,
443,Security System,19.35644193,2.874142429,1,3,23,1,,
444,Security System,8.519244569,0.62589418,1,4,41,1,,
445,Camera,10.93831006,7.976260182,1,3,39,0,,
446,Smart Speaker,16.37628918,4.228846839,0,2,22,0,,
447,Security System,12.45901065,2.368254478,0,3,33,0,,
448,Lights,20.74397362,2.394723748,1,0,41,1,,
449,Lights,20.85183836,9.023859418,0,0,42,0,,
450,Thermostat,0.732901344,8.355774345,1,3,48,0,,
451,Security System,18.7840882,5.579955765,0,3,53,0,,
452,Smart Speaker,11.32723961,6.199496924,0,1,18,0,,
453,Camera,23.73775272,4.795823148,1,3,14,1,,
454,Camera,11.85595378,3.977498775,0,0,28,1,,
455,Smart Speaker,23.69205472,9.163221124,1,2,11,1,,
456,Thermostat,18.23237999,1.343565765,1,0,24,1,,
457,Camera,6.342214788,4.242623218,1,1,36,0,,
458,Security System,13.15228201,3.511162889,0,3,19,0,,
459,Thermostat,23.81518753,5.03169213,0,2,13,0,,
460,Security System,20.65196928,4.630555558,1,0,33,1,,
461,Lights,2.788122004,5.237006363,0,2,53,0,,
462,Thermostat,17.09974193,1.485197875,1,4,19,1,,
463,Camera,8.621120268,5.180100865,1,0,47,1,,
464,Thermostat,0.664083154,2.499946257,0,4,52,0,,
465,Thermostat,9.981802772,1.924880355,1,2,32,1,,
466,Thermostat,6.016728911,0.741858766,0,3,15,0,,
467,Thermostat,19.74342786,7.650260332,0,3,57,0,,
468,Security System,8.427269308,4.331675016,0,3,11,0,,
469,Lights,19.94680681,6.303772465,1,4,23,1,,
470,Smart Speaker,0.514051563,7.303174099,1,3,59,0,,
471,Thermostat,7.733750026,6.825234987,0,1,5,0,,
